CD4 T cells,Regulatory CD4 T cells,CD4_NaiveLike,Memory CD4 T cells,Activation/Effector function,Exhaustion,Cytotoxicity,Cytokine/Cytokine receptor,Treg signature
CD3E,CD3E,AQP3,CCR7,AHR,BTLA,CAPN2,ADAM12,CCR4
CD4,CD4,CCR7,CD28,BATF,CTLA4,CST7,ADAM19,CTLA4
,CTLA4,CD40LG,CD3E,CD300A,ENTPD1,CTSA,ADAM8,ENTPD1
,FOXP3,GPR183,CD4,CD38,HAVCR2,CTSB,CD70,FOXP3
,IL2RA,IL7R,SELL,CD44,LAG3,CTSC,CSF1,HAVCR2
,,KLRB1,,CD69,LAYN,CTSD,CSF2,ICOS
,,LEF1,,CX3CR1,PDCD1,CTSH,IL10RA,IKZF2
,,LTB,,EOMES,TIGIT,CTSW,IL12RB2,IKZF4
,,MAL,,FAS,TOX,GNLY,IL17A,IL10RA
,,PASK,,FGFBP2,VSIR,GZMA,IL17F,IL2RA
,,SELL,,FOS,,GZMB,IL1R1,LAG3
,,TCF7,,FOSB,,GZMH,IL1R2,PDCD1
,,TRAT1,,FOSL2,,GZMK,IL21,TGFB1
,,,,HOPX,,GZMM,IL21R,TIGIT
,,,,ID2,,IFNG,IL26,
,,,,ID3,,PLEK,IL2RA,
,,,,JUN,,PRF1,IL2RB,
,,,,JUNB,,SERPINB9,IL2RG,
,,,,JUND,,TNF,IL32,
,,,,KLRB1,,,IL6R,
,,,,KLRD1,,,TGFB1,
,,,,KLRG1,,,TGFBR2,
,,,,NKG7,,,TGFBR3,
,,,,NR4A1,,,,
,,,,NR4A2,,,,
,,,,PRDM1,,,,
,,,,RUNX3,,,,
,,,,STAT1,,,,
,,,,STAT3,,,,
,,,,TBX21,,,,
,,,,ZEB2,,,,
