CD8 T cells,Regulatory CD8 T cells,CD8_NaiveLike,CD8_Tpex,CD8_Tex,Memory CD8 T cells,CD8_EffectorMemory,CD8_Activ,Exhaustion,Cytotoxicity,Cytokine/Cytokine receptor
CD8A,CD3E,ACTN1,CCL3,CCL4,CCR7,ABI3,ANXA1,BTLA,CAPN2,ADAM10
CD8B,CD8A,CCR7,CCL4,CD8A,CD28,AOAH,AOAH,CD160,CST7,ADAM8
,CD8B,FOXO1,CD70,CD8B,CD3E,C12orf75,BATF,CD244,CTSA,CD70
,CTLA4,FOXP1,CD8A,CHST12,CD8A,CCL5,BTG2,CTLA4,CTSB,CSF1
,FOXP3,IL7R,CRTAM,CSF1,CD8B,CCR5,BTLA,ENTPD1,CTSC,IL10RA
,IL2RA,KLF2,CST7,CST7,SELL,CD8A,CCL5,HAVCR2,CTSD,IL16
,,KLF3,CTSW,CTSD,,CD8B,CD160,LAG3,CTSH,IL17RA
,,LEF1,CXCL13,CTSW,,CHST12,CD300A,LAIR1,CTSW,IL18RAP
,,S1PR1,DUSP4,CXCR6,,CST7,CD38,LAYN,GNLY,IL21R
,,SATB1,GZMB,FAM3C,,CTSW,CD44,LILRB1,GZMA,IL2RB
,,SELL,IFNG,FASLG,,CXCR3,CD69,PDCD1,GZMB,IL2RG
,,TCF7,LAG3,GZMB,,CXCR6,CD8A,TIGIT,GZMH,IL32
,,TXK,NKG7,HAVCR2,,EOMES,CD8B,TOX,GZMK,IL9R
,,,NR4A2,ID2,,F2R,CTLA4,VSIR,GZMM,METRNL
,,,PDCD1,KLRD1,,GZMA,CX3CR1,,IFNG,
,,,PLSCR1,LAG3,,GZMB,CXCR4,,LAMP1,
,,,PRF1,NKG7,,GZMH,DUSP2,,LAMP3,
,,,RAB27A,PDCD1,,GZMK,ENTPD1,,PLEK,
,,,SLA,PRF1,,GZMM,EOMES,,PRF1,
,,,TIGIT,RBPJ,,HCST,FAS,,SERPINB1,
,,,TNFRSF9,TIGIT,,ITM2C,FASLG,,SERPINB6,
,,,TOX,TNFRSF9,,NKG7,FCGR3A,,SERPINB9,
,,,XCL1,,,OASL,FGFBP2,,TNF,
,,,ZEB2,,,PRF1,FOS,,,
,,,,,,SLAMF7,FOSB,,,
,,,,,,,GZMK,,,
,,,,,,,HOPX,,,
,,,,,,,ID2,,,
,,,,,,,ID3,,,
,,,,,,,IRF4,,,
,,,,,,,ITM2C,,,
,,,,,,,JUN,,,
,,,,,,,JUNB,,,
,,,,,,,JUND,,,
,,,,,,,KLRB1,,,
,,,,,,,KLRD1,,,
,,,,,,,KLRF1,,,
,,,,,,,KLRG1,,,
,,,,,,,KLRK1,,,
,,,,,,,LAIR1,,,
,,,,,,,LILRB1,,,
,,,,,,,LYAR,,,
,,,,,,,NKG7,,,
,,,,,,,NR4A1,,,
,,,,,,,NR4A2,,,
,,,,,,,NR4A3,,,
,,,,,,,PARP8,,,
,,,,,,,PBX3,,,
,,,,,,,PRDM1,,,
,,,,,,,RUNX3,,,
,,,,,,,SAMD3,,,
,,,,,,,STAT1,,,
,,,,,,,STAT2,,,
,,,,,,,STAT4,,,
,,,,,,,STAT5A,,,
,,,,,,,STAT6,,,
,,,,,,,TAGAP,,,
,,,,,,,TBX21,,,
,,,,,,,TIGIT,,,
,,,,,,,TOX,,,
,,,,,,,VSIR,,,
,,,,,,,ZEB2,,,
,,,,,,,ZFP36,,,
,,,,,,,ZNF683,,,
