ligand,receptor,pathway,signaling_type,version
TGFB1,TGFBR2_TGFBR1,TGFb,Secreted Signaling,CellChatDB v1
TGFB2,TGFBR2_TGFBR1,TGFb,Secreted Signaling,CellChatDB v1
TGFB3,TGFBR2_TGFBR1,TGFb,Secreted Signaling,CellChatDB v1
TGFB1,TGFBR2_ACVR1B,TGFb,Secreted Signaling,CellChatDB v1
TGFB1,TGFBR2_ACVR1C,TGFb,Secreted Signaling,CellChatDB v1
TGFB2,TGFBR2_ACVR1B,TGFb,Secreted Signaling,CellChatDB v1
TGFB2,TGFBR2_ACVR1C,TGFb,Secreted Signaling,CellChatDB v1
TGFB3,TGFBR2_ACVR1B,TGFb,Secreted Signaling,CellChatDB v1
TGFB3,TGFBR2_ACVR1C,TGFb,Secreted Signaling,CellChatDB v1
TGFB1,TGFBR2_ACVR1_TGFBR1,TGFb,Secreted Signaling,CellChatDB v1
TGFB2,TGFBR2_ACVR1_TGFBR1,TGFb,Secreted Signaling,CellChatDB v1
TGFB3,TGFBR2_ACVR1_TGFBR1,TGFb,Secreted Signaling,CellChatDB v1
BMP2,ACVR2A_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP2,ACVR2B_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP2,BMPR2_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP2,BMPR1B_ACVR2A,BMP,Secreted Signaling,CellChatDB v1
BMP2,BMPR1B_ACVR2B,BMP,Secreted Signaling,CellChatDB v1
BMP2,BMPR1B_BMPR2,BMP,Secreted Signaling,CellChatDB v1
BMP4,ACVR2A_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP4,ACVR2B_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP4,BMPR2_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP4,BMPR1B_ACVR2A,BMP,Secreted Signaling,CellChatDB v1
BMP4,BMPR1B_ACVR2B,BMP,Secreted Signaling,CellChatDB v1
BMP4,BMPR1B_BMPR2,BMP,Secreted Signaling,CellChatDB v1
GDF5,ACVR2A_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
GDF5,ACVR2B_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
GDF5,BMPR2_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
GDF5,BMPR1B_ACVR2A,BMP,Secreted Signaling,CellChatDB v1
GDF5,BMPR1B_ACVR2B,BMP,Secreted Signaling,CellChatDB v1
GDF5,BMPR1B_BMPR2,BMP,Secreted Signaling,CellChatDB v1
GDF6,ACVR2A_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
GDF6,ACVR2B_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
GDF6,BMPR2_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
GDF6,BMPR1B_ACVR2A,BMP,Secreted Signaling,CellChatDB v1
GDF6,BMPR1B_ACVR2B,BMP,Secreted Signaling,CellChatDB v1
GDF6,BMPR1B_BMPR2,BMP,Secreted Signaling,CellChatDB v1
GDF7,ACVR2A_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
GDF7,ACVR2B_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
GDF7,BMPR2_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
GDF7,BMPR1B_ACVR2A,BMP,Secreted Signaling,CellChatDB v1
GDF7,BMPR1B_ACVR2B,BMP,Secreted Signaling,CellChatDB v1
GDF7,BMPR1B_BMPR2,BMP,Secreted Signaling,CellChatDB v1
BMP15,BMPR1B_BMPR2,BMP,Secreted Signaling,CellChatDB v1
BMP5,ACVR1_ACVR2A,BMP,Secreted Signaling,CellChatDB v1
BMP5,ACVR1_ACVR2B,BMP,Secreted Signaling,CellChatDB v1
BMP5,BMPR2_ACVR1,BMP,Secreted Signaling,CellChatDB v1
BMP5,ACVR2A_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP5,ACVR2B_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP5,BMPR2_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP5,BMPR1B_ACVR2A,BMP,Secreted Signaling,CellChatDB v1
BMP5,BMPR1B_ACVR2B,BMP,Secreted Signaling,CellChatDB v1
BMP5,BMPR1B_BMPR2,BMP,Secreted Signaling,CellChatDB v1
BMP6,ACVR1_ACVR2A,BMP,Secreted Signaling,CellChatDB v1
BMP6,ACVR1_ACVR2B,BMP,Secreted Signaling,CellChatDB v1
BMP6,BMPR2_ACVR1,BMP,Secreted Signaling,CellChatDB v1
BMP6,ACVR2A_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP6,ACVR2B_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP6,BMPR2_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP6,BMPR1B_ACVR2A,BMP,Secreted Signaling,CellChatDB v1
BMP6,BMPR1B_ACVR2B,BMP,Secreted Signaling,CellChatDB v1
BMP6,BMPR1B_BMPR2,BMP,Secreted Signaling,CellChatDB v1
BMP7,ACVR1_ACVR2A,BMP,Secreted Signaling,CellChatDB v1
BMP7,ACVR1_ACVR2B,BMP,Secreted Signaling,CellChatDB v1
BMP7,BMPR2_ACVR1,BMP,Secreted Signaling,CellChatDB v1
BMP7,ACVR2A_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP7,ACVR2B_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP7,BMPR2_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP7,BMPR1B_ACVR2A,BMP,Secreted Signaling,CellChatDB v1
BMP7,BMPR1B_ACVR2B,BMP,Secreted Signaling,CellChatDB v1
BMP7,BMPR1B_BMPR2,BMP,Secreted Signaling,CellChatDB v1
BMP8A,ACVR1_ACVR2A,BMP,Secreted Signaling,CellChatDB v1
BMP8A,ACVR1_ACVR2B,BMP,Secreted Signaling,CellChatDB v1
BMP8A,BMPR2_ACVR1,BMP,Secreted Signaling,CellChatDB v1
BMP8A,ACVR2A_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP8A,ACVR2B_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP8A,BMPR2_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP8A,BMPR1B_ACVR2A,BMP,Secreted Signaling,CellChatDB v1
BMP8A,BMPR1B_ACVR2B,BMP,Secreted Signaling,CellChatDB v1
BMP8A,BMPR1B_BMPR2,BMP,Secreted Signaling,CellChatDB v1
BMP8B,ACVR1_ACVR2A,BMP,Secreted Signaling,CellChatDB v1
BMP8B,ACVR1_ACVR2B,BMP,Secreted Signaling,CellChatDB v1
BMP8B,BMPR2_ACVR1,BMP,Secreted Signaling,CellChatDB v1
BMP8B,ACVR2A_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP8B,ACVR2B_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP8B,BMPR2_BMPR1A,BMP,Secreted Signaling,CellChatDB v1
BMP8B,BMPR1B_ACVR2A,BMP,Secreted Signaling,CellChatDB v1
BMP8B,BMPR1B_ACVR2B,BMP,Secreted Signaling,CellChatDB v1
BMP8B,BMPR1B_BMPR2,BMP,Secreted Signaling,CellChatDB v1
BMP10,BMPR2_ACVRL1,BMP10,Secreted Signaling,CellChatDB v1
BMP10,ACVR2A_ACVRL1,BMP10,Secreted Signaling,CellChatDB v1
GDF2,BMPR2_ACVRL1,BMP10,Secreted Signaling,CellChatDB v1
GDF2,ACVR2A_ACVRL1,BMP10,Secreted Signaling,CellChatDB v1
GDF9,BMPR2_ACVR1B,GDF,Secreted Signaling,CellChatDB v1
GDF10,ACVR1B_ACVR2A,GDF,Secreted Signaling,CellChatDB v1
GDF11,ACVR2A_TGFBR1,GDF,Secreted Signaling,CellChatDB v1
GDF11,ACVR2B_TGFBR1,GDF,Secreted Signaling,CellChatDB v1
GDF11,ACVR1B_ACVR2B,GDF,Secreted Signaling,CellChatDB v1
GDF15,TGFBR2,GDF,Secreted Signaling,CellChatDB v1
MSTN,ACVR2B_TGFBR1,MSTN,Secreted Signaling,CellChatDB v1
MSTN,ACVR1B_ACVR2B,MSTN,Secreted Signaling,CellChatDB v1
MSTN,ACVR1B_ACVR2A,MSTN,Secreted Signaling,CellChatDB v1
MSTN,ACVR2A_TGFBR1,MSTN,Secreted Signaling,CellChatDB v1
AMH,ACVR1_AMHR2,AMH,Secreted Signaling,CellChatDB v1
AMH,AMHR2_BMPR1A,AMH,Secreted Signaling,CellChatDB v1
GDNF,GFRA1_RET,GDNF,Secreted Signaling,CellChatDB v1
NRTN,GFRA2_RET,GDNF,Secreted Signaling,CellChatDB v1
ARTN,GFRA3_RET,GDNF,Secreted Signaling,CellChatDB v1
PSPN,GFRA4_RET,GDNF,Secreted Signaling,CellChatDB v1
ARTN,GFRA1_RET,GDNF,Secreted Signaling,CellChatDB v1
NODAL,ACVR1B_ACVR2A_CFC1,NODAL,Secreted Signaling,CellChatDB v1
NODAL,ACVR1C_ACVR2A_CFC1,NODAL,Secreted Signaling,CellChatDB v1
NODAL,ACVR1B_ACVR2B_CFC1,NODAL,Secreted Signaling,CellChatDB v1
NODAL,ACVR1C_ACVR2B_CFC1,NODAL,Secreted Signaling,CellChatDB v1
GDF1,ACVR1B_ACVR2A_CFC1,NODAL,Secreted Signaling,CellChatDB v1
GDF1,ACVR1B_ACVR2B_CFC1,NODAL,Secreted Signaling,CellChatDB v1
GDF1,ACVR1C_ACVR2A_CFC1,NODAL,Secreted Signaling,CellChatDB v1
GDF1,ACVR1C_ACVR2B_CFC1,NODAL,Secreted Signaling,CellChatDB v1
GDF3,ACVR1B_ACVR2A_CFC1,NODAL,Secreted Signaling,CellChatDB v1
GDF3,ACVR1B_ACVR2B_CFC1,NODAL,Secreted Signaling,CellChatDB v1
GDF3,ACVR1C_ACVR2A_CFC1,NODAL,Secreted Signaling,CellChatDB v1
GDF3,ACVR1C_ACVR2B_CFC1,NODAL,Secreted Signaling,CellChatDB v1
INHBA,ACVR1B_ACVR2A,ACTIVIN,Secreted Signaling,CellChatDB v1
INHBA,ACVR1B_ACVR2B,ACTIVIN,Secreted Signaling,CellChatDB v1
INHBB,ACVR1B_ACVR2A,ACTIVIN,Secreted Signaling,CellChatDB v1
INHBB,ACVR1B_ACVR2B,ACTIVIN,Secreted Signaling,CellChatDB v1
INHBB,ACVR1C_ACVR2A,ACTIVIN,Secreted Signaling,CellChatDB v1
INHBB,ACVR1C_ACVR2B,ACTIVIN,Secreted Signaling,CellChatDB v1
INHBC,ACVR1B_ACVR2A,ACTIVIN,Secreted Signaling,CellChatDB v1
INHBC,ACVR1B_ACVR2B,ACTIVIN,Secreted Signaling,CellChatDB v1
INHBC,ACVR1C_ACVR2A,ACTIVIN,Secreted Signaling,CellChatDB v1
INHBC,ACVR1C_ACVR2B,ACTIVIN,Secreted Signaling,CellChatDB v1
INHBE,ACVR1B_ACVR2A,ACTIVIN,Secreted Signaling,CellChatDB v1
INHBE,ACVR1B_ACVR2B,ACTIVIN,Secreted Signaling,CellChatDB v1
INHBE,ACVR1C_ACVR2A,ACTIVIN,Secreted Signaling,CellChatDB v1
INHBE,ACVR1C_ACVR2B,ACTIVIN,Secreted Signaling,CellChatDB v1
"INHBA, INHBB",ACVR1B_ACVR2A,ACTIVIN,Secreted Signaling,CellChatDB v1
"INHBA, INHBB",ACVR1B_ACVR2B,ACTIVIN,Secreted Signaling,CellChatDB v1
"INHBA, INHBB",ACVR1C_ACVR2A,ACTIVIN,Secreted Signaling,CellChatDB v1
"INHBA, INHBB",ACVR1C_ACVR2B,ACTIVIN,Secreted Signaling,CellChatDB v1
"INHBA, INHA",ACVR2A,ACTIVIN,Secreted Signaling,CellChatDB v1
"INHA, INHBB",ACVR2B,ACTIVIN,Secreted Signaling,CellChatDB v1
WNT1,FZD1_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT1,FZD10_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT1,FZD2_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT1,LRP5_FZD3,WNT,Secreted Signaling,CellChatDB v1
WNT1,FZD4_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT1,FZD5_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT1,FZD6_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT1,LRP5_FZD7,WNT,Secreted Signaling,CellChatDB v1
WNT1,FZD8_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT1,FZD9_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT10A,FZD1_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT10A,FZD10_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT10A,FZD2_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT10A,LRP5_FZD3,WNT,Secreted Signaling,CellChatDB v1
WNT10A,FZD4_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT10A,FZD5_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT10A,FZD6_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT10A,LRP5_FZD7,WNT,Secreted Signaling,CellChatDB v1
WNT10A,FZD8_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT10A,FZD9_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD1_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD10_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD2_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT10B,LRP5_FZD3,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD4_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD5_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT10B,FZD6_LRP5,WNT,Secreted Signaling,CellChatDB v1
WNT10B,LRP5_FZD7,WNT,Secreted Signaling,CellChatDB v1
