ligand,receptor,pathway,signaling_type
PTGR1,LTB4R,nan,Secreted Signaling
PTGR1,LTB4R2,nan,Secreted Signaling
CYP11A1,NR1H4,nan,Secreted Signaling
CYP3A4,NR1H4,nan,Secreted Signaling
DAGLA,CNR1,nan,Secreted Signaling
DAGLA,CNR2,nan,Secreted Signaling
DAGLA,GPR55,nan,Secreted Signaling
DAGLB,CNR1,nan,Secreted Signaling
DAGLB,CNR2,nan,Secreted Signaling
DAGLB,GPR55,nan,Secreted Signaling
ALOX5_LTC4S_ALOX5AP,OXER1,nan,Secreted Signaling
WNT11,KLRG2,nan,Secreted Signaling
TNFSF9,KLRG2,nan,Secreted Signaling
WNT5B,KLRG2,nan,Secreted Signaling
DDC,HTR3E,nan,Secreted Signaling
COL6A6,ITGB1_ITGA10,nan,Secreted Signaling
COL6A6,ITGB1_ITGA11,nan,Secreted Signaling
COL6A6,ITGB1_ITGA1,nan,Secreted Signaling
COL6A6,ITGB1_ITGA2,nan,Secreted Signaling
COL6A5,ITGB1_ITGA10,nan,Secreted Signaling
COL6A5,ITGB1_ITGA11,nan,Secreted Signaling
COL6A5,ITGB1_ITGA1,nan,Secreted Signaling
COL6A5,ITGB1_ITGA2,nan,Secreted Signaling
BMP10,ACVRL1_ACVR2A,nan,Secreted Signaling
GDF2,ACVRL1_ACVR2A,nan,Secreted Signaling
BMP10,ACVRL1_BMPR2,nan,Secreted Signaling
GDF2,ACVRL1_BMPR2,nan,Secreted Signaling
BMP7,ACVR1_BMPR2,nan,Secreted Signaling
BMP5,ACVR1_BMPR2,nan,Secreted Signaling
BMP6,ACVR1_BMPR2,nan,Secreted Signaling
BMP8A,ACVR1_BMPR2,nan,Secreted Signaling
INHBA_INHBB,ACVR1_ACVR2A,nan,Secreted Signaling
INHBA_INHA,ACVR1_ACVR2A,nan,Secreted Signaling
INHBB_INHA,ACVR1_ACVR2A,nan,Secreted Signaling
INHA,ACVR1_ACVR2A,nan,Secreted Signaling
BMP7,ACVR1_ACVR2A,nan,Secreted Signaling
BMP5,ACVR1_ACVR2A,nan,Secreted Signaling
BMP6,ACVR1_ACVR2A,nan,Secreted Signaling
BMP8A,ACVR1_ACVR2A,nan,Secreted Signaling
INHBA_INHBB,ACVR1_ACVR2B,nan,Secreted Signaling
INHBA_INHA,ACVR1_ACVR2B,nan,Secreted Signaling
INHBB_INHA,ACVR1_ACVR2B,nan,Secreted Signaling
INHA,ACVR1_ACVR2B,nan,Secreted Signaling
BMP7,ACVR1_ACVR2B,nan,Secreted Signaling
BMP5,ACVR1_ACVR2B,nan,Secreted Signaling
BMP6,ACVR1_ACVR2B,nan,Secreted Signaling
BMP8A,ACVR1_ACVR2B,nan,Secreted Signaling
INHBA_INHBB,ACVR1B_ACVR2A,nan,Secreted Signaling
INHBA_INHA,ACVR1B_ACVR2A,nan,Secreted Signaling
INHBB_INHA,ACVR1B_ACVR2A,nan,Secreted Signaling
GDF11,ACVR1B_ACVR2A,nan,Secreted Signaling
INHA,ACVR1B_ACVR2A,nan,Secreted Signaling
INHBA_INHBB,ACVR1B_ACVR2B,nan,Secreted Signaling
INHBA_INHA,ACVR1B_ACVR2B,nan,Secreted Signaling
INHBB_INHA,ACVR1B_ACVR2B,nan,Secreted Signaling
MSTN,ACVR1B_ACVR2B,nan,Secreted Signaling
GDF11,ACVR1B_ACVR2B,nan,Secreted Signaling
INHA,ACVR1B_ACVR2B,nan,Secreted Signaling
GDF1,ACVR1B_ACVR2B,nan,Secreted Signaling
GDF10,ACVR1B_ACVR2B,nan,Secreted Signaling
GDF3,ACVR1B_ACVR2B,nan,Secreted Signaling
INHBA_INHBB,ACVR1C_ACVR2A,nan,Secreted Signaling
INHBA_INHA,ACVR1C_ACVR2A,nan,Secreted Signaling
INHBB_INHA,ACVR1C_ACVR2A,nan,Secreted Signaling
INHA,ACVR1C_ACVR2A,nan,Secreted Signaling
INHBA_INHBB,ACVR1C_ACVR2B,nan,Secreted Signaling
INHBA_INHA,ACVR1C_ACVR2B,nan,Secreted Signaling
INHBB_INHA,ACVR1C_ACVR2B,nan,Secreted Signaling
INHA,ACVR1C_ACVR2B,nan,Secreted Signaling
ADIPOQ,ADIPOR1_ADIPOR2,nan,Secreted Signaling
IAPP,CALCR_RAMP1,nan,Secreted Signaling
IAPP,CALCR_RAMP2,nan,Secreted Signaling
IAPP,CALCR_RAMP3,nan,Secreted Signaling
CHAT,CHRNA2_CHRNB3,nan,Secreted Signaling
CHAT,CHRNA3_CHRNB2_CHRNA5,nan,Secreted Signaling
CHAT,CHRNA3_CHRNB4_CHRNA5,nan,Secreted Signaling
CHAT,CHRNA4_CHRNB2,nan,Secreted Signaling
CHAT,CHRNA6_CHRNA4_CHRNB3,nan,Secreted Signaling
CHAT,CHRNA6_CHRNB3_CHRNB4,nan,Secreted Signaling
CHAT,CHRNA1,nan,Secreted Signaling
CHAT,CHRM2,nan,Secreted Signaling
CHAT,CHRM4,nan,Secreted Signaling
CHAT,CHRM5,nan,Secreted Signaling
CHAT,CHRM1,nan,Secreted Signaling
CHAT,CHRM3,nan,Secreted Signaling
CHAT,CHRNA7,nan,Secreted Signaling
CYP11B2,NR3C1,nan,Secreted Signaling
CYP11B2,NR3C2,nan,Secreted Signaling
CYP17A1,AR,nan,Secreted Signaling
HSD17B6,NR1H4,nan,Secreted Signaling
LGALS9,BCR_PTPRC_CD22,nan,Secreted Signaling
GDF2_BMP15,BMPR1B_BMPR2_ACVR1B,nan,Secreted Signaling
BMP2,BMPR1A_BMPR2,nan,Secreted Signaling
BMP4,BMPR1A_BMPR2,nan,Secreted Signaling
BMP7,BMPR1A_BMPR2,nan,Secreted Signaling
BMP5,BMPR1A_BMPR2,nan,Secreted Signaling
BMP6,BMPR1A_BMPR2,nan,Secreted Signaling
GDF6,BMPR1A_BMPR2,nan,Secreted Signaling
GDF7,BMPR1A_BMPR2,nan,Secreted Signaling
BMP8A,BMPR1A_BMPR2,nan,Secreted Signaling
BMP15,BMPR1B_BMPR2,nan,Secreted Signaling
BMP2,BMPR1B_BMPR2,nan,Secreted Signaling
BMP4,BMPR1B_BMPR2,nan,Secreted Signaling
BMP7,BMPR1B_BMPR2,nan,Secreted Signaling
BMP5,BMPR1B_BMPR2,nan,Secreted Signaling
BMP6,BMPR1B_BMPR2,nan,Secreted Signaling
BMPR1B_BMPR2,BMPR1A,nan,Cell-Cell Contact
GDF5,BMPR1B_BMPR2,nan,Secreted Signaling
GDF6,BMPR1B_BMPR2,nan,Secreted Signaling
GDF7,BMPR1B_BMPR2,nan,Secreted Signaling
BMP8A,BMPR1B_BMPR2,nan,Secreted Signaling
BMP2,BMPR1A_ACVR2A,nan,Secreted Signaling
BMP4,BMPR1A_ACVR2A,nan,Secreted Signaling
BMP7,BMPR1A_ACVR2A,nan,Secreted Signaling
BMP5,BMPR1A_ACVR2A,nan,Secreted Signaling
BMP6,BMPR1A_ACVR2A,nan,Secreted Signaling
GDF5,BMPR1A_ACVR2A,nan,Secreted Signaling
GDF6,BMPR1A_ACVR2A,nan,Secreted Signaling
GDF7,BMPR1A_ACVR2A,nan,Secreted Signaling
BMP8A,BMPR1A_ACVR2A,nan,Secreted Signaling
BMP2,BMPR1A_ACVR2B,nan,Secreted Signaling
BMP4,BMPR1A_ACVR2B,nan,Secreted Signaling
BMP7,BMPR1A_ACVR2B,nan,Secreted Signaling
BMP5,BMPR1A_ACVR2B,nan,Secreted Signaling
BMP6,BMPR1A_ACVR2B,nan,Secreted Signaling
GDF5,BMPR1A_ACVR2B,nan,Secreted Signaling
GDF7,BMPR1A_ACVR2B,nan,Secreted Signaling
BMP8A,BMPR1A_ACVR2B,nan,Secreted Signaling
BMP2,BMPR1B_ACVR2A,nan,Secreted Signaling
BMP4,BMPR1B_ACVR2A,nan,Secreted Signaling
BMP7,BMPR1B_ACVR2A,nan,Secreted Signaling
BMP5,BMPR1B_ACVR2A,nan,Secreted Signaling
BMP6,BMPR1B_ACVR2A,nan,Secreted Signaling
GDF5,BMPR1B_ACVR2A,nan,Secreted Signaling
GDF6,BMPR1B_ACVR2A,nan,Secreted Signaling
GDF7,BMPR1B_ACVR2A,nan,Secreted Signaling
BMP8A,BMPR1B_ACVR2A,nan,Secreted Signaling
BMP2,BMPR1B_ACVR2B,nan,Secreted Signaling
BMP4,BMPR1B_ACVR2B,nan,Secreted Signaling
BMP7,BMPR1B_ACVR2B,nan,Secreted Signaling
BMP5,BMPR1B_ACVR2B,nan,Secreted Signaling
BMP6,BMPR1B_ACVR2B,nan,Secreted Signaling
GDF5,BMPR1B_ACVR2B,nan,Secreted Signaling
GDF6,BMPR1B_ACVR2B,nan,Secreted Signaling
GDF7,BMPR1B_ACVR2B,nan,Secreted Signaling
BMP8A,BMPR1B_ACVR2B,nan,Secreted Signaling
CCL3L1,CCR1,nan,Secreted Signaling
CCL3L1,CCR3,nan,Secreted Signaling
CD8A_CD8B,LCK,nan,Cell-Cell Contact
KLRD1_KLRC1,HLA-E,nan,Cell-Cell Contact
KLRD1_KLRC2,HLA-E,nan,Cell-Cell Contact
KLRD1_KLRC3,HLA-E,nan,Cell-Cell Contact
CNTF,CNTFR_LIFR_IL6ST,nan,Secreted Signaling
CLCF1,CNTFR_LIFR_IL6ST,nan,Secreted Signaling
APOA1,AMN_CUBN,nan,Secreted Signaling
CYP27B1,VDR,nan,Secreted Signaling
HSD3B1,CATSPER1_CATSPERB,nan,Secreted Signaling
HSD3B1,CATSPER1_CATSPERD,nan,Secreted Signaling
