ligand,receptor,classification,directionality,id_cp_interaction,signaling_type
CDH1,ITGA2_ITGB1,Adhesion by Cadherin,Adhesion-Adhesion,CPI-SC0A2DB962D,Cell-Cell Contact
COL10A1,ITGA2_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0B5CEA47D,Cell-Cell Contact
COL11A1,ITGA2_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0C8B7BCBB,Cell-Cell Contact
COL11A2,ITGA2_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0D3C12C3F,Cell-Cell Contact
COL12A1,ITGA2_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0B86B7CED,Cell-Cell Contact
COL13A1,ITGA2_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0FA343CEF,Cell-Cell Contact
COL14A1,ITGA2_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0CCCF9A7F,Cell-Cell Contact
COL15A1,ITGA2_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0E85E1FB0,Cell-Cell Contact
COL16A1,ITGA2_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0956F4A31,Cell-Cell Contact
COL17A1,ITGA2_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC06EEEC092,Cell-Cell Contact
COL18A1,ITGA2_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC04BD52124,Cell-Cell Contact
COL19A1,ITGA2_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0BDD04147,Cell-Cell Contact
COL1A1,ITGA2_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC04BCFC59C,Cell-Cell Contact
COL1A2,ITGA2_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC03D0A4AD2,Cell-Cell Contact
COL20A1,ITGA2_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0D5DDAD29,Cell-Cell Contact
COL21A1,ITGA2_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0D10396B4,Cell-Cell Contact
COL22A1,ITGA2_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC04D3AE2F6,Cell-Cell Contact
COL24A1,ITGA2_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC088A27EA5,Cell-Cell Contact
COL26A1,ITGA2_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0F179D307,Cell-Cell Contact
