ligand_norm,receptor_norm,signaling_type_ccv2,signaling_type_lr,ligand_ccv2,receptor_ccv2,ligand_lr,receptor_lr
COL1A1,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL1A1,ITGB1_ITGA1,COL1A1,ITGA1_ITGB1
COL1A2,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL1A2,ITGB1_ITGA1,COL1A2,ITGA1_ITGB1
COL2A1,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL2A1,ITGB1_ITGA1,COL2A1,ITGA1_ITGB1
COL4A1,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A1,ITGB1_ITGA1,COL4A1,ITGA1_ITGB1
COL4A2,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A2,ITGB1_ITGA1,COL4A2,ITGA1_ITGB1
COL4A3,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A3,ITGB1_ITGA1,COL4A3,ITGA1_ITGB1
COL4A4,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A4,ITGB1_ITGA1,COL4A4,ITGA1_ITGB1
COL4A5,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A5,ITGB1_ITGA1,COL4A5,ITGA1_ITGB1
COL4A6,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A6,ITGB1_ITGA1,COL4A6,ITGA1_ITGB1
COL6A1,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A1,ITGB1_ITGA1,COL6A1,ITGA1_ITGB1
COL6A2,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A2,ITGB1_ITGA1,COL6A2,ITGA1_ITGB1
COL6A3,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A3,ITGB1_ITGA1,COL6A3,ITGA1_ITGB1
COL6A5,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A5,ITGB1_ITGA1,COL6A5,ITGA1_ITGB1
COL6A6,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A6,ITGB1_ITGA1,COL6A6,ITGA1_ITGB1
COL9A1,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL9A1,ITGB1_ITGA1,COL9A1,ITGA1_ITGB1
COL9A2,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL9A2,ITGB1_ITGA1,COL9A2,ITGA1_ITGB1
COL9A3,ITGA1_ITGB1,ECM-Receptor,Cell-Cell Contact,COL9A3,ITGB1_ITGA1,COL9A3,ITGA1_ITGB1
COL1A1,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL1A1,ITGA2_ITGB1,COL1A1,ITGA2_ITGB1
COL1A2,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL1A2,ITGA2_ITGB1,COL1A2,ITGA2_ITGB1
COL2A1,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL2A1,ITGA2_ITGB1,COL2A1,ITGA2_ITGB1
COL4A1,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A1,ITGA2_ITGB1,COL4A1,ITGA2_ITGB1
COL4A2,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A2,ITGA2_ITGB1,COL4A2,ITGA2_ITGB1
COL4A3,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A3,ITGA2_ITGB1,COL4A3,ITGA2_ITGB1
COL4A4,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A4,ITGA2_ITGB1,COL4A4,ITGA2_ITGB1
COL4A5,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A5,ITGA2_ITGB1,COL4A5,ITGA2_ITGB1
COL4A6,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL4A6,ITGA2_ITGB1,COL4A6,ITGA2_ITGB1
COL6A1,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A1,ITGA2_ITGB1,COL6A1,ITGA2_ITGB1
COL6A2,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A2,ITGA2_ITGB1,COL6A2,ITGA2_ITGB1
COL6A3,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A3,ITGA2_ITGB1,COL6A3,ITGA2_ITGB1
COL6A5,ITGA2_ITGB1,ECM-Receptor,Cell-Cell Contact,COL6A5,ITGA2_ITGB1,COL6A5,ITGA2_ITGB1
