Activated T cells,Exhausted T cells,Treg,Th1,Tfh,Cytotoxic signature,Naïve signature
CD2,ACTB,BATF,ANXA1,BATF,ARL4C,CCR7
CD27,ACTG1,CD3D,BTLA,CD4,BIN2,LEF1
CD28,ADORA2A,CD3E,CD200,CORO1B,C1orf162,SELL
CD3E,AGFG1,CD3G,CD4,CTLA4,C1orf21,TCF7
CD4,AKAP5,CD4,CD40LG,CXCL13,CCND3,
CD69,ALDOA,CD5,CDKN1A,ICOS,CD300A,
CD8A,ANKRD10,CTLA4,CTLA4,ITM2A,CST7,
CD8B,APLP2,DNPH1,CTSB,MAF,CTSW,
ICOS,ARF6,DUSP4,CXCL13,MAGEH1,CX3CR1,
IFNG,ARID4B,EBI3,GPR183,NMB,EFHD2,
IL2,ARL6IP5,ENTPD1,ICA1,NR3C1,EMP3,
IL2RA,ARNT,FOXP3,ICOS,SESN3,FAM65B,
TNF,ARPC2,GLRX,IKZF4,SH2D1A,FCGR3A,
TNFRSF4,ARPC5L,GPX1,IL7R,TBC1D4,FCRL6,
TNFRSF9,ATHL1,ICOS,KLRB1,TIGIT,FGFBP2,
,ATP5B,IKZF2,LIMS1,TNFRSF18,FGR,
,B2M,IKZF4,LMNA,TOX2,GNLY,
,BTLA,IL10,LTB,UCP2,GZMA,
,CADM1,IL12A,MAGEH1,,GZMB,
,CALM2,IL2RA,NMB,,HZMH,
,CAPRIN1,ITGAE,NR3C1,,IFNG,
,CBLB,IZUMO1R,PLIN2,,KLRD1,
,CCL3,LAG3,PTPN13,,KLRF1,
,CCL4L1,LGALS1,RORA,,KLRG1,
,CCL4L2,LRRC32,S100A11,,KLRK1,
,CCND2,MAF,S100A4,,KLRKB1,
,CD2,NAMPT,SESN3,,NKG7,
,CD200,NT5E,SH2D1A,,PLAC8,
,CD27,PBXIP1,TNFRSF25,,PLEK,
,CD3E,PHLDA1,,,PRF1,
,CD4,SAT1,,,S1PR1,
,CD7,SELL,,,S1PR5,
,CD74,SNX9,,,SAMD3,
,CD8A,STAT5A,,,SORL1,
,CD8B,STAT5B,,,SPON2,
,COTL1,SYNGR2,,,STK38,
,CSDE1,TBC1D4,,,TGFBR3,
,CSF1,TGFB1,,,TRDC,
,CTLA4,TIGIT,,,TYROBP,
,CXCL13,TNFRSF18,,,,
,CXCR6,TNFRSF1B,,,,
,DDX3X,TNFRSF4,,,,
,DDX5,TYMP,,,,
,DGKH,,,,,
,DUSP2,,,,,
,DUSP4,,,,,
,EDEM1,,,,,
,EID1,,,,,
,ENTPD1,,,,,
,ESYT1,,,,,
,ETNK1,,,,,
,ETV1,,,,,
,EWSR1,,,,,
,FABP5,,,,,
,FAIM3,,,,,
,FAM3C,,,,,
,FASLG,,,,,
,FCRL3,,,,,
,FYN,,,,,
,GALNT1,,,,,
,GBP2,,,,,
,GFOD1,,,,,
,GNAS,,,,,
,GOLPH3,,,,,
,GPR174,,,,,
,H3F3B,,,,,
,HAVCR1,,,,,
,HAVCR2,,,,,
,HLA-A,,,,,
,HLA-DMA,,,,,
,HLA-DPA1,,,,,
,HLA-DQB1,,,,,
,HLA-DRB1,,,,,
,HLA-DRB6,,,,,
,HNRNPC,,,,,
,HNRNPK,,,,,
,HSPA1A,,,,,
,HSPA1B,,,,,
,HSPB1,,,,,
,ID3,,,,,
,IDH2,,,,,
,IFI16,,,,,
,IFNG,,,,,
,IGFLR1,,,,,
,IL2RG,,,,,
,ILRB,,,,,
,IRF8,,,,,
,IRF9,,,,,
,ITGAE,,,,,
,ITK,,,,,
,ITM2A,,,,,
,KIR2DL4,,,,,
,KIR3DL1,,,,,
,KLRK1,,,,,
,LAG3,,,,,
,LDHA,,,,,
,LIMS1,,,,,
,LITAF,,,,,
,LRMP,,,,,
,LSP1,,,,,
,LUC7L3,,,,,
,LYST,,,,,
,MALAT1,,,,,
,MATR3,,,,,
,MGEA5,,,,,
,MIR155HG,,,,,
,MYO7A,,,,,
,NAB1,,,,,
,NBL1,,,,,
,NCOA3,,,,,
,NFATC1,,,,,
,NSUN2,,,,,
,OSBPL3,,,,,
,PAG1,,,,,
,PAM,,,,,
,PAPOLA,,,,,
,PCED1B,,,,,
,PDCD1,,,,,
,PDE7B,,,,,
,PDIA6,,,,,
,PHLDA1,,,,,
,PRF1,,,,,
,PRKCH,,,,,
,PSMB9,,,,,
,PTMS,,,,,
,PTPN11,,,,,
,PTPN6,,,,,
,PTPN7,,,,,
,PTPRCAP,,,,,
,RAB27A,,,,,
,RAPGEF6,,,,,
,RASSF5,,,,,
,RDH10,,,,,
,RGS2,,,,,
,RGS4,,,,,
,RNF149,,,,,
,RNF19A,,,,,
,ROCK1,,,,,
,SDF4,,,,,
,SEMA4A,,,,,
,SIRPG,,,,,
,SLA,,,,,
,SNAP47,,,,,
,SNX9,,,,,
,SPDYE5,,,,,
,SPRY2,,,,,
,SRGN,,,,,
,SRSF1,,,,,
,SRSF4,,,,,
,STAT1,,,,,
,STAT3,,,,,
,SYT11,,,,,
,TAP1,,,,,
,TBC1D4,,,,,
,TBL1XR1,,,,,
,TIGIT,,,,,
,TMBIM6,,,,,
,TNFRSF1B,,,,,
,TNFRSF9,,,,,
,TNS3,,,,,
,TOX,,,,,
,TOX2,,,,,
,TPI1,,,,,
,TRAC,,,,,
,TRAF5,,,,,
,TRIM22,,,,,
,UBB,,,,,
,UBC,,,,,
,UBE2F,,,,,
,VCAM1,,,,,
,WARS,,,,,
,ZC3H12C,,,,,
,ZDHHC6,,,,,
