==============================================================================
ALARMIST  seed=53  K=25  patch=80.0um  ->  results/AIS_LUAD_new
  stages : bptf
  figures: none   data-file: data/linghua/P21_LUAD_Xenium.h5ad
==============================================================================
timestamp_utc = 2026-07-29T00:00:42Z
stages = bptf
seed = 53   n_components = 25   patch_size = 80.0   max_iter = 1000
data_file = data/linghua/P21_LUAD_Xenium.h5ad
output_dir = results/AIS_LUAD_new
patchify = results/AIS_LUAD_new/patchify (built here)
cell_type_column = annotation_coarse   resource = cellchatdb   cellchatdb = data/LRdatabase/CellChatDBv2.0.human.csv
count_layer = X   glm_backend = torch   glm_device = cpu   gene_tile = 2048
prefilter_spearman = True   glm_dtype = float64
figures = none   network_threshold = [100.0]   viz_network_threshold = 0.0
python = /Users/jiayifan/anaconda3/envs/bptf/bin/python
alarmist_git_commit = 95208de4180946fd4fed77cd3ff594c6114f93e9


>>>> 2026-07-29T00:00:42Z  [bptf] in-process  K=25  max_iter=1000  seed=53  cellchatdb=data/LRdatabase/CellChatDBv2.0.human.csv
OMP: Info #276: omp_set_nested routine deprecated, please use omp_set_max_active_levels instead.
ITERATION 0:	Time: 0.000000	Objective: -284773108956.87	Change: nan	
  0%|          | 0/1000 [00:00<?, ?it/s]ITERATION 1:	Time: 26.499040	Objective: -106954412.47	Change: 9.99624e-01	
  0%|          | 1/1000 [00:26<7:21:13, 26.50s/it]ITERATION 2:	Time: 26.130047	Objective: -106720538.56	Change: 2.18667e-03	
  0%|          | 2/1000 [00:52<7:17:10, 26.28s/it]ITERATION 3:	Time: 25.923060	Objective: -105856461.10	Change: 8.09664e-03	
  0%|          | 3/1000 [01:18<7:14:01, 26.12s/it]ITERATION 4:	Time: 26.955834	Objective: -102839527.89	Change: 2.85002e-02	
  0%|          | 4/1000 [01:45<7:19:04, 26.45s/it]ITERATION 5:	Time: 25.155256	Objective: -91879284.26	Change: 1.06576e-01	
  0%|          | 5/1000 [02:10<7:10:53, 25.98s/it]ITERATION 6:	Time: 25.431709	Objective: -65115409.03	Change: 2.91294e-01	
  1%|          | 6/1000 [02:36<7:07:21, 25.80s/it]ITERATION 7:	Time: 25.030115	Objective: -32571428.46	Change: 4.99789e-01	
  1%|          | 7/1000 [03:01<7:02:47, 25.55s/it]ITERATION 8:	Time: 25.737688	Objective: -7300652.39	Change: 7.75857e-01	
  1%|          | 8/1000 [03:26<7:03:22, 25.61s/it]ITERATION 9:	Time: 25.775684	Objective: 9731823.21	Change: 2.33301e+00	
  1%|          | 9/1000 [03:52<7:03:49, 25.66s/it]ITERATION 10:	Time: 25.133784	Objective: 21692099.48	Change: 1.22899e+00	
  1%|1         | 10/1000 [04:17<7:00:43, 25.50s/it]ITERATION 11:	Time: 25.430875	Objective: 29915512.66	Change: 3.79097e-01	
  1%|1         | 11/1000 [04:43<6:59:57, 25.48s/it]ITERATION 12:	Time: 25.178992	Objective: 35867823.21	Change: 1.98971e-01	
