==============================================================================
ALARMIST  seed=53  K=20  patch=50.0um  ->  results/GBM_s53_legacy
  stages : bptf
  figures: none   data-file: data/xenium_mm_final_cell_id.h5ad
==============================================================================
timestamp_utc = 2026-07-28T22:53:46Z
stages = bptf
seed = 53   n_components = 20   patch_size = 50.0   max_iter = 1000
data_file = data/xenium_mm_final_cell_id.h5ad
output_dir = results/GBM_s53_legacy
patchify = results/GBM_s53_legacy/patchify (built here)
cell_type_column = cell_type   resource = cellchatdb   cellchatdb = /private/tmp/claude-501/-Users-jiayifan-tansey-lab-alarmist/c9bb7632-3fa0-4091-a310-d98997fd8568/scratchpad/CellChatDBv2.0.human.legacy_effective.csv
count_layer = X   glm_backend = torch   glm_device = cpu   gene_tile = 2048
prefilter_spearman = True   glm_dtype = float64
figures = none   network_threshold = [100.0]   viz_network_threshold = 0.0
python = /Users/jiayifan/anaconda3/envs/bptf/bin/python
alarmist_git_commit = 95208de4180946fd4fed77cd3ff594c6114f93e9


>>>> 2026-07-28T22:53:46Z  [bptf] in-process  K=20  max_iter=1000  seed=53  cellchatdb=/private/tmp/claude-501/-Users-jiayifan-tansey-lab-alarmist/c9bb7632-3fa0-4091-a310-d98997fd8568/scratchpad/CellChatDBv2.0.human.legacy_effective.csv
OMP: Info #276: omp_set_nested routine deprecated, please use omp_set_max_active_levels instead.
ITERATION 0:	Time: 0.000000	Objective: -6748902797.49	Change: nan	
  0%|          | 0/1000 [00:00<?, ?it/s]ITERATION 1:	Time: 0.983087	Objective: -5047857.68	Change: 9.99252e-01	
  0%|          | 1/1000 [00:00<16:22,  1.02it/s]ITERATION 2:	Time: 0.921237	Objective: -5026392.83	Change: 4.25227e-03	
  0%|          | 2/1000 [00:01<15:44,  1.06it/s]ITERATION 3:	Time: 0.903573	Objective: -4967425.98	Change: 1.17314e-02	
  0%|          | 3/1000 [00:02<15:24,  1.08it/s]ITERATION 4:	Time: 0.940484	Objective: -4868543.38	Change: 1.99062e-02	
  0%|          | 4/1000 [00:03<15:28,  1.07it/s]ITERATION 5:	Time: 0.886091	Objective: -4699112.89	Change: 3.48011e-02	
  0%|          | 5/1000 [00:04<15:11,  1.09it/s]ITERATION 6:	Time: 0.889550	Objective: -4401810.93	Change: 6.32677e-02	
  1%|          | 6/1000 [00:05<15:01,  1.10it/s]ITERATION 7:	Time: 0.882768	Objective: -3913550.42	Change: 1.10923e-01	
  1%|          | 7/1000 [00:06<14:52,  1.11it/s]ITERATION 8:	Time: 0.907040	Objective: -3232920.48	Change: 1.73916e-01	
  1%|          | 8/1000 [00:07<14:54,  1.11it/s]ITERATION 9:	Time: 0.914961	Objective: -2500373.36	Change: 2.26590e-01	
  1%|          | 9/1000 [00:08<14:57,  1.10it/s]ITERATION 10:	Time: 0.911908	Objective: -1934592.92	Change: 2.26278e-01	
  1%|1         | 10/1000 [00:09<14:58,  1.10it/s]ITERATION 11:	Time: 0.898477	Objective: -1600650.41	Change: 1.72616e-01	
  1%|1         | 11/1000 [00:10<14:55,  1.10it/s]ITERATION 12:	Time: 0.898258	Objective: -1416052.94	Change: 1.15327e-01	
  1%|1         | 12/1000 [00:10<14:52,  1.11it/s]ITERATION 13:	Time: 0.867582	Objective: -1301467.04	Change: 8.09192e-02	
  1%|1         | 13/1000 [00:11<14:40,  1.12it/s]ITERATION 14:	Time: 0.928822	Objective: -1220294.48	Change: 6.23700e-02	
  1%|1         | 14/1000 [00:12<14:50,  1.11it/s]ITERATION 15:	Time: 0.894439	Objective: -1157585.10	Change: 5.13887e-02	
  2%|1         | 15/1000 [00:13<14:47,  1.11it/s]ITERATION 16:	Time: 0.868058	Objective: -1106749.36	Change: 4.39153e-02	
  2%|1         | 16/1000 [00:14<14:36,  1.12it/s]ITERATION 17:	Time: 0.872696	Objective: -1065031.15	Change: 3.76944e-02	
  2%|1         | 17/1000 [00:15<14:30,  1.13it/s]ITERATION 18:	Time: 0.909537	Objective: -1030338.17	Change: 3.25746e-02	
  2%|1         | 18/1000 [00:16<14:36,  1.12it/s]ITERATION 19:	Time: 0.912511	Objective: -1000999.05	Change: 2.84752e-02	
  2%|1         | 19/1000 [00:17<14:41,  1.11it/s]ITERATION 20:	Time: 0.932532	Objective: -975929.32	Change: 2.50447e-02	
  2%|2         | 20/1000 [00:18<14:50,  1.10it/s]ITERATION 21:	Time: 0.928234	Objective: -954341.72	Change: 2.21200e-02	
