==============================================================================
ALARMIST  seed=53  K=20  patch=50.0um  ->  results/GBM_s53_new
  stages : bptf
  figures: none   data-file: data/xenium_mm_final_cell_id.h5ad
==============================================================================
timestamp_utc = 2026-07-28T22:55:11Z
stages = bptf
seed = 53   n_components = 20   patch_size = 50.0   max_iter = 1000
data_file = data/xenium_mm_final_cell_id.h5ad
output_dir = results/GBM_s53_new
patchify = results/GBM_s53_new/patchify (built here)
cell_type_column = cell_type   resource = cellchatdb   cellchatdb = data/LRdatabase/CellChatDBv2.0.human.csv
count_layer = X   glm_backend = torch   glm_device = cpu   gene_tile = 2048
prefilter_spearman = True   glm_dtype = float64
figures = none   network_threshold = [100.0]   viz_network_threshold = 0.0
python = /Users/jiayifan/anaconda3/envs/bptf/bin/python
alarmist_git_commit = 95208de4180946fd4fed77cd3ff594c6114f93e9


>>>> 2026-07-28T22:55:11Z  [bptf] in-process  K=20  max_iter=1000  seed=53  cellchatdb=data/LRdatabase/CellChatDBv2.0.human.csv
OMP: Info #276: omp_set_nested routine deprecated, please use omp_set_max_active_levels instead.
ITERATION 0:	Time: 0.000000	Objective: -8051575174.16	Change: nan	
  0%|          | 0/1000 [00:00<?, ?it/s]ITERATION 1:	Time: 1.048319	Objective: -5642191.34	Change: 9.99299e-01	
  0%|          | 1/1000 [00:01<17:27,  1.05s/it]ITERATION 2:	Time: 0.995067	Objective: -5618301.86	Change: 4.23408e-03	
  0%|          | 2/1000 [00:02<16:55,  1.02s/it]ITERATION 3:	Time: 1.011289	Objective: -5555387.79	Change: 1.11981e-02	
  0%|          | 3/1000 [00:03<16:51,  1.01s/it]ITERATION 4:	Time: 0.983523	Objective: -5463652.28	Change: 1.65129e-02	
  0%|          | 4/1000 [00:04<16:38,  1.00s/it]ITERATION 5:	Time: 1.015919	Objective: -5317518.96	Change: 2.67465e-02	
  0%|          | 5/1000 [00:05<16:42,  1.01s/it]ITERATION 6:	Time: 1.002679	Objective: -5046919.82	Change: 5.08882e-02	
  1%|          | 6/1000 [00:06<16:39,  1.01s/it]ITERATION 7:	Time: 1.012683	Objective: -4559712.25	Change: 9.65356e-02	
  1%|          | 7/1000 [00:07<16:41,  1.01s/it]ITERATION 8:	Time: 1.002121	Objective: -3828388.91	Change: 1.60388e-01	
  1%|          | 8/1000 [00:08<16:38,  1.01s/it]ITERATION 9:	Time: 0.997007	Objective: -3084590.00	Change: 1.94285e-01	
  1%|          | 9/1000 [00:09<16:34,  1.00s/it]ITERATION 10:	Time: 0.997001	Objective: -2531177.49	Change: 1.79412e-01	
  1%|1         | 10/1000 [00:10<16:31,  1.00s/it]ITERATION 11:	Time: 0.989248	Objective: -2148763.12	Change: 1.51082e-01	
  1%|1         | 11/1000 [00:11<16:26,  1.00it/s]ITERATION 12:	Time: 0.994687	Objective: -1893659.13	Change: 1.18721e-01	
  1%|1         | 12/1000 [00:12<16:24,  1.00it/s]ITERATION 13:	Time: 0.997947	Objective: -1725837.26	Change: 8.86231e-02	
  1%|1         | 13/1000 [00:13<16:24,  1.00it/s]ITERATION 14:	Time: 1.004178	Objective: -1609909.15	Change: 6.71721e-02	
  1%|1         | 14/1000 [00:14<16:25,  1.00it/s]ITERATION 15:	Time: 0.991242	Objective: -1524654.80	Change: 5.29560e-02	
  2%|1         | 15/1000 [00:15<16:22,  1.00it/s]ITERATION 16:	Time: 1.002001	Objective: -1458799.57	Change: 4.31935e-02	
  2%|1         | 16/1000 [00:16<16:22,  1.00it/s]ITERATION 17:	Time: 1.016349	Objective: -1406143.02	Change: 3.60958e-02	
  2%|1         | 17/1000 [00:17<16:26,  1.00s/it]ITERATION 18:	Time: 1.008106	Objective: -1363109.51	Change: 3.06039e-02	
  2%|1         | 18/1000 [00:18<16:27,  1.01s/it]ITERATION 19:	Time: 1.015684	Objective: -1327352.43	Change: 2.62320e-02	
  2%|1         | 19/1000 [00:19<16:29,  1.01s/it]ITERATION 20:	Time: 1.004097	Objective: -1297383.55	Change: 2.25779e-02	
  2%|2         | 20/1000 [00:20<16:27,  1.01s/it]ITERATION 21:	Time: 1.024127	Objective: -1271696.61	Change: 1.97990e-02	
  2%|2         | 21/1000 [00:21<16:31,  1.01s/it]ITERATION 22:	Time: 1.004379	Objective: -1249775.58	Change: 1.72376e-02	
  2%|2         | 22/1000 [00:22<16:27,  1.01s/it]ITERATION 23:	Time: 1.018917	Objective: -1230760.41	Change: 1.52149e-02	
  2%|2         | 23/1000 [00:23<16:29,  1.01s/it]ITERATION 24:	Time: 1.001991	Objective: -1214385.52	Change: 1.33047e-02	
  2%|2         | 24/1000 [00:24<16:25,  1.01s/it]ITERATION 25:	Time: 1.020424	Objective: -1200373.67	Change: 1.15382e-02	
  2%|2         | 25/1000 [00:25<16:27,  1.01s/it]ITERATION 26:	Time: 1.007839	Objective: -1188236.51	Change: 1.01112e-02	
  3%|2         | 26/1000 [00:26<16:25,  1.01s/it]ITERATION 27:	Time: 1.038205	Objective: -1177707.75	Change: 8.86083e-03	
  3%|2         | 27/1000 [00:27<16:31,  1.02s/it]ITERATION 28:	Time: 1.018418	Objective: -1168592.35	Change: 7.73996e-03	
  3%|2         | 28/1000 [00:28<16:30,  1.02s/it]ITERATION 29:	Time: 1.034463	Objective: -1160656.27	Change: 6.79114e-03	
  3%|2         | 29/1000 [00:29<16:34,  1.02s/it]ITERATION 30:	Time: 1.012267	Objective: -1153833.11	Change: 5.87870e-03	
  3%|3         | 30/1000 [00:30<16:29,  1.02s/it]ITERATION 31:	Time: 1.003860	Objective: -1147831.14	Change: 5.20177e-03	
  3%|3         | 31/1000 [00:31<16:24,  1.02s/it]ITERATION 32:	Time: 1.002955	Objective: -1142443.17	Change: 4.69404e-03	
  3%|3         | 32/1000 [00:32<16:19,  1.01s/it]ITERATION 33:	Time: 0.995757	Objective: -1137642.06	Change: 4.20250e-03	
  3%|3         | 33/1000 [00:33<16:13,  1.01s/it]ITERATION 34:	Time: 1.045600	Objective: -1133435.83	Change: 3.69732e-03	
