partner_A	partner_B	ligand_genes	receptor_genes	classification	directionality	id_cp_interaction
329	1507	CDH1	ITGA2_ITGB1	Adhesion by Cadherin	Adhesion-Adhesion	CPI-SC0A2DB962D
716	1507	COL10A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0B5CEA47D
322	1507	COL11A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0C8B7BCBB
343	1507	COL11A2	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0D3C12C3F
930	1507	COL12A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0B86B7CED
810	1507	COL13A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0FA343CEF
720	1507	COL14A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0CCCF9A7F
1347	1507	COL15A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0E85E1FB0
725	1507	COL16A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0956F4A31
1042	1507	COL17A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC06EEEC092
1348	1507	COL18A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC04BD52124
775	1507	COL19A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0BDD04147
197	1507	COL1A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC04BCFC59C
264	1507	COL1A2	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC03D0A4AD2
1012	1507	COL20A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0D5DDAD29
911	1507	COL21A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0D10396B4
869	1507	COL22A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC04D3AE2F6
799	1507	COL24A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC088A27EA5
903	1507	COL26A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0F179D307
852	1507	COL27A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC044C2FDA4
804	1507	COL28A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC04251A46C
198	1507	COL2A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC09C62F412
199	1507	COL3A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC06A152CC0
200	1507	COL4A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC03515B178
272	1507	COL4A2	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC046604E76
703	1507	COL4A3	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0926FDACC
648	1507	COL4A4	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC072376C7B
1344	1507	COL4A5	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0C287AFC3
758	1507	COL4A6	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0FDD31EAB
413	1507	COL5A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0681DB40E
245	1507	COL5A2	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0345262E7
1340	1507	COL5A3	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0D5418330
323	1507	COL6A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0CCB0D955
324	1507	COL6A2	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC01A5C5096
325	1507	COL6A3	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC084C79E20
34	1507	COL6A5	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0A6F94686
33	1507	COL6A6	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC00D0AFED0
708	1507	COL7A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC05640277E
1343	1507	COL8A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0B3564B15
450	1507	COL8A2	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0F94B7D8F
412	1507	COL9A1	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC00065C95C
760	1507	COL9A2	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0A916E0E2
759	1507	COL9A3	ITGA2_ITGB1	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SC0BB68FB34
208	1507	FN1	ITGA2_ITGB1	Adhesion by Fibronectin	Adhesion-Adhesion	CPI-SC01D1C56CC
314	1507	LAMC1	ITGA2_ITGB1	Adhesion by Laminin	Ligand-Receptor	CPI-SC0A460766C
329	1519	CDH1	ITGAE_ITGB7	Adhesion by Cadherin	Adhesion-Adhesion	CPI-SC09D882C18
329	906	CDH1	KLRG1	Adhesion by Cadherin	Ligand-Receptor	CPI-SS0CC5DCE80
391	391	CDH2	CDH2	Adhesion by Cadherin	Adhesion-Adhesion	CPI-SS0EE09A201
391	251	CDH2	FCER2	Adhesion by Cadherin	Ligand-Receptor	CPI-SS0ADFF0666
