combo	n_cells
3.0_Tumor	852547
0.0_Tumor	150885
0.0_fibroblast	147415
3.0_fibroblast	91300
0.0_muscle_cell	27076
0.0_macrophage	25555
3.0_muscle_cell	16097
1.0_endothelial_cell	15042
6.0_Tumor	14695
3.0_macrophage	14130
0.0_T_cell	13582
1.0_fibroblast	13180
0.0_endothelial_cell	12702
5.0_T_cell	12119
0.0_fat_cell	11619
6.0_fibroblast	11151
0.0_mast_cell	10581
3.0_endothelial_cell	9274
1.0_pericyte	8825
1.0_muscle_cell	8610
5.0_fibroblast	8606
1.0_Tumor	7711
0.0_pericyte	5762
3.0_T_cell	5660
6.0_macrophage	5642
3.0_mast_cell	5130
5.0_macrophage	4380
1.0_macrophage	4264
3.0_pericyte	3922
0.0_neutrophil	3625
3.0_fat_cell	3211
6.0_T_cell	3050
0.0_natural_killer_cell	2930
6.0_monocyte	2553
1.0_T_cell	2534
1.0_mast_cell	2286
6.0_muscle_cell	2033
5.0_B_cell	1936
6.0_endothelial_cell	1869
5.0_natural_killer_cell	1857
5.0_mast_cell	1832
0.0_B_cell	1805
1.0_fat_cell	1772
3.0_neutrophil	1664
5.0_muscle_cell	1640
5.0_fat_cell	1478
3.0_natural_killer_cell	1425
5.0_endothelial_cell	1405
5.0_Tumor	1377
4.0_natural_killer_cell	1326
6.0_mast_cell	1186
0.0_dendritic_cell	1183
5.0_neutrophil	1149
6.0_fat_cell	1022
4.0_fibroblast	1014
4.0_T_cell	965
3.0_B_cell	862
4.0_B_cell	847
5.0_dendritic_cell	742
6.0_pericyte	621
6.0_neutrophil	601
3.0_dendritic_cell	560
6.0_natural_killer_cell	560
1.0_neutrophil	514
6.0_B_cell	446
5.0_pericyte	411
1.0_natural_killer_cell	384
1.0_B_cell	344
6.0_dendritic_cell	328
1.0_dendritic_cell	276
4.0_fat_cell	234
4.0_mast_cell	207
4.0_neutrophil	151
5.0_monocyte	129
4.0_muscle_cell	117
1.0_monocyte	64
4.0_endothelial_cell	50
4.0_macrophage	37
4.0_dendritic_cell	30
4.0_Tumor	23
2.0_Other	19
4.0_Other	15
