gene_name	cell_type
ABCA3	3.0_Tumor
ABCA3	5.0_Tumor
ABCA3	1.0_Tumor
ABCA3	0.0_Tumor
ABCA3	6.0_Tumor
ABCA3	4.0_Tumor
ABCB6	3.0_Tumor
ABCB6	5.0_Tumor
ABCB6	1.0_Tumor
ABCB6	0.0_Tumor
ABCB6	6.0_Tumor
ABCB6	4.0_Tumor
ABCC1	3.0_Tumor
ABCC1	5.0_Tumor
ABCC1	1.0_Tumor
ABCC1	0.0_Tumor
ABCC1	6.0_Tumor
ABCC1	4.0_Tumor
ABCC3	3.0_Tumor
ABCC3	5.0_Tumor
ABCC3	1.0_Tumor
ABCC3	0.0_Tumor
ABCC3	6.0_Tumor
ABCC3	4.0_Tumor
ABI3BP	3.0_Tumor
ABI3BP	5.0_Tumor
ABI3BP	1.0_Tumor
ABI3BP	0.0_Tumor
ABI3BP	6.0_Tumor
ABI3BP	4.0_Tumor
ABO	3.0_Tumor
ABO	5.0_Tumor
ABO	1.0_Tumor
ABO	0.0_Tumor
ABO	6.0_Tumor
ABO	4.0_Tumor
ABTB2	3.0_Tumor
ABTB2	5.0_Tumor
ABTB2	1.0_Tumor
ABTB2	0.0_Tumor
ABTB2	6.0_Tumor
ABTB2	4.0_Tumor
ACACA	3.0_Tumor
ACACA	5.0_Tumor
ACACA	1.0_Tumor
ACACA	0.0_Tumor
ACACA	6.0_Tumor
ACACA	4.0_Tumor
ACACB	3.0_Tumor
ACACB	5.0_Tumor
ACACB	1.0_Tumor
ACACB	0.0_Tumor
ACACB	6.0_Tumor
ACACB	4.0_Tumor
ACAT1	3.0_Tumor
ACAT1	5.0_Tumor
ACAT1	1.0_Tumor
ACAT1	0.0_Tumor
ACAT1	6.0_Tumor
ACAT1	4.0_Tumor
ACHE	3.0_Tumor
ACHE	5.0_Tumor
ACHE	1.0_Tumor
ACHE	0.0_Tumor
ACHE	6.0_Tumor
ACHE	4.0_Tumor
ADCYAP1	3.0_Tumor
ADCYAP1	5.0_Tumor
ADCYAP1	1.0_Tumor
ADCYAP1	0.0_Tumor
ADCYAP1	6.0_Tumor
ADCYAP1	4.0_Tumor
ADGRA3	3.0_Tumor
ADGRA3	5.0_Tumor
ADGRA3	1.0_Tumor
ADGRA3	0.0_Tumor
ADGRA3	6.0_Tumor
ADGRA3	4.0_Tumor
ADGRB2	3.0_Tumor
ADGRB2	5.0_Tumor
ADGRB2	1.0_Tumor
ADGRB2	0.0_Tumor
ADGRB2	6.0_Tumor
ADGRB2	4.0_Tumor
ADGRG6	3.0_Tumor
ADGRG6	5.0_Tumor
ADGRG6	1.0_Tumor
ADGRG6	0.0_Tumor
ADGRG6	6.0_Tumor
ADGRG6	4.0_Tumor
ADGRL1	3.0_Tumor
ADGRL1	5.0_Tumor
ADGRL1	1.0_Tumor
ADGRL1	0.0_Tumor
ADGRL1	6.0_Tumor
ADGRL1	4.0_Tumor
ADM	3.0_Tumor
ADM	5.0_Tumor
ADM	1.0_Tumor
ADM	0.0_Tumor
ADM	6.0_Tumor
ADM	4.0_Tumor
ADORA2B	3.0_Tumor
ADORA2B	5.0_Tumor
ADORA2B	1.0_Tumor
ADORA2B	0.0_Tumor
ADORA2B	6.0_Tumor
ADORA2B	4.0_Tumor
ADRA1B	3.0_Tumor
ADRA1B	5.0_Tumor
ADRA1B	1.0_Tumor
ADRA1B	0.0_Tumor
ADRA1B	6.0_Tumor
ADRA1B	4.0_Tumor
AHCY	3.0_Tumor
AHCY	5.0_Tumor
AHCY	1.0_Tumor
AHCY	0.0_Tumor
AHCY	6.0_Tumor
AHCY	4.0_Tumor
AIF1L	3.0_Tumor
AIF1L	5.0_Tumor
AIF1L	1.0_Tumor
AIF1L	0.0_Tumor
AIF1L	6.0_Tumor
AIF1L	4.0_Tumor
AKR1C3	3.0_Tumor
AKR1C3	5.0_Tumor
AKR1C3	1.0_Tumor
