cell_type	microenvironment
0.0_B_cell	0.0
0.0_T_cell	0.0
0.0_Tumor	0.0
0.0_dendritic_cell	0.0
0.0_endothelial_cell	0.0
0.0_fat_cell	0.0
0.0_fibroblast	0.0
0.0_macrophage	0.0
0.0_mast_cell	0.0
0.0_muscle_cell	0.0
0.0_natural_killer_cell	0.0
0.0_neutrophil	0.0
0.0_pericyte	0.0
1.0_B_cell	1.0
1.0_T_cell	1.0
1.0_Tumor	1.0
1.0_dendritic_cell	1.0
1.0_endothelial_cell	1.0
1.0_fat_cell	1.0
1.0_fibroblast	1.0
1.0_macrophage	1.0
1.0_mast_cell	1.0
1.0_monocyte	1.0
1.0_muscle_cell	1.0
1.0_natural_killer_cell	1.0
1.0_neutrophil	1.0
1.0_pericyte	1.0
2.0_Other	2.0
3.0_B_cell	3.0
3.0_T_cell	3.0
3.0_Tumor	3.0
3.0_dendritic_cell	3.0
3.0_endothelial_cell	3.0
3.0_fat_cell	3.0
3.0_fibroblast	3.0
3.0_macrophage	3.0
3.0_mast_cell	3.0
3.0_muscle_cell	3.0
3.0_natural_killer_cell	3.0
3.0_neutrophil	3.0
3.0_pericyte	3.0
4.0_B_cell	4.0
4.0_Other	4.0
4.0_T_cell	4.0
4.0_Tumor	4.0
4.0_dendritic_cell	4.0
4.0_endothelial_cell	4.0
4.0_fat_cell	4.0
4.0_fibroblast	4.0
4.0_macrophage	4.0
4.0_mast_cell	4.0
4.0_muscle_cell	4.0
4.0_natural_killer_cell	4.0
4.0_neutrophil	4.0
5.0_B_cell	5.0
5.0_T_cell	5.0
5.0_Tumor	5.0
5.0_dendritic_cell	5.0
5.0_endothelial_cell	5.0
5.0_fat_cell	5.0
5.0_fibroblast	5.0
5.0_macrophage	5.0
5.0_mast_cell	5.0
5.0_monocyte	5.0
5.0_muscle_cell	5.0
5.0_natural_killer_cell	5.0
5.0_neutrophil	5.0
5.0_pericyte	5.0
6.0_B_cell	6.0
6.0_T_cell	6.0
6.0_Tumor	6.0
6.0_dendritic_cell	6.0
6.0_endothelial_cell	6.0
6.0_fat_cell	6.0
6.0_fibroblast	6.0
6.0_macrophage	6.0
6.0_mast_cell	6.0
6.0_monocyte	6.0
6.0_muscle_cell	6.0
6.0_natural_killer_cell	6.0
6.0_neutrophil	6.0
6.0_pericyte	6.0
