interaction_key,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,sum_across_punches
endothelial cell_endothelial cell_CDH5_CDH5,8,51,27,53,32,27,41,19,18,27,16,28,20,27,10,12,17,0,10,25,20,13,22,14,14,15,14,31,45,56,38,50,35,17,16,5,3,12,9,28,37,34,31,21,19,11,35,18,42,23,30,45,44,46,40,3,16,14,26,28,20,27,24,28,41,1628
endothelial cell_endothelial cell_PECAM1_PECAM1,8,51,27,53,32,27,41,19,18,27,16,28,20,27,10,12,17,0,10,25,20,13,22,14,14,15,14,31,45,56,38,50,35,17,16,5,3,12,9,28,37,34,31,21,19,11,35,18,42,23,30,45,44,46,40,3,16,14,26,28,20,27,24,28,41,1628
endothelial cell_endothelial cell_PTPRM_PTPRM,8,51,27,53,32,27,41,19,18,27,16,28,20,27,10,12,17,0,10,25,20,13,22,14,14,15,14,31,45,56,38,50,35,17,16,5,3,12,9,28,37,34,31,21,19,11,35,18,42,23,30,45,44,46,40,0,16,14,26,28,20,27,24,28,41,1625
endothelial cell_endothelial cell_JAG1_NOTCH1,0,51,27,53,32,27,41,19,18,27,16,28,20,27,10,12,17,0,10,25,20,0,22,14,14,15,14,31,45,56,38,50,35,17,16,0,0,12,9,28,37,34,31,21,19,11,35,18,42,23,30,45,44,46,40,0,16,14,26,28,20,27,24,28,41,1596
endothelial cell_endothelial cell_JAG1_NOTCH4,0,51,27,53,32,27,41,19,18,27,16,28,20,27,10,12,17,0,10,25,20,0,22,14,14,15,14,31,45,56,38,50,35,17,16,0,0,12,9,28,37,34,31,21,19,11,35,18,42,23,30,45,44,46,40,0,16,14,26,28,20,27,24,28,41,1596
endothelial cell_endothelial cell_CD46_JAG1,0,51,0,53,32,27,41,0,18,0,16,28,20,27,0,12,17,0,10,25,20,0,22,0,0,15,0,31,45,56,38,50,35,0,16,0,0,0,0,28,37,34,31,21,19,11,35,18,42,23,30,45,44,46,40,0,16,14,26,28,20,27,24,28,41,1433
endothelial cell_endothelial cell_VEGFC_VEGFR2,0,51,0,53,32,27,41,19,0,0,0,28,20,27,0,12,17,0,0,25,20,13,22,14,14,15,14,31,45,56,38,50,35,17,0,0,0,0,9,28,37,34,31,0,0,0,35,18,42,23,30,45,44,46,40,0,16,14,26,28,20,27,24,28,41,1422
endothelial cell_endothelial cell_DLL4_NOTCH4,0,51,0,53,32,0,41,19,18,27,0,28,20,27,0,12,17,0,10,25,20,13,22,14,14,15,0,31,45,56,38,50,0,0,0,0,0,0,0,28,37,34,31,21,19,0,35,18,42,23,0,45,44,46,40,0,16,14,26,0,20,27,24,28,41,1357
endothelial cell_endothelial cell_DLL4_NOTCH1,0,51,0,53,32,0,41,19,18,27,0,28,20,27,0,12,17,0,10,25,20,13,22,14,14,15,0,31,45,56,38,50,0,0,0,0,0,0,0,28,37,34,31,21,19,0,35,18,42,23,0,45,44,46,40,0,16,14,26,0,20,27,24,28,41,1357
endothelial cell_endothelial cell_VEGFC_VEGFR3,0,51,0,53,32,27,41,19,0,0,0,28,20,0,0,0,17,0,0,25,20,0,22,14,14,0,14,31,45,56,38,50,35,17,0,0,0,0,0,28,37,34,31,0,0,0,35,18,42,23,30,45,44,46,40,0,16,14,26,28,20,27,24,28,41,1346
