source,target,lr_pair,sum_count,interaction_key
endothelial cell,endothelial cell,CDH5_CDH5,1628,endothelial cell_endothelial cell_CDH5_CDH5
endothelial cell,endothelial cell,PECAM1_PECAM1,1628,endothelial cell_endothelial cell_PECAM1_PECAM1
endothelial cell,endothelial cell,PTPRM_PTPRM,1625,endothelial cell_endothelial cell_PTPRM_PTPRM
endothelial cell,endothelial cell,JAG1_NOTCH1,1596,endothelial cell_endothelial cell_JAG1_NOTCH1
endothelial cell,endothelial cell,JAG1_NOTCH4,1596,endothelial cell_endothelial cell_JAG1_NOTCH4
endothelial cell,endothelial cell,CD46_JAG1,1433,endothelial cell_endothelial cell_CD46_JAG1
endothelial cell,endothelial cell,VEGFC_VEGFR2,1422,endothelial cell_endothelial cell_VEGFC_VEGFR2
endothelial cell,endothelial cell,DLL4_NOTCH4,1357,endothelial cell_endothelial cell_DLL4_NOTCH4
endothelial cell,endothelial cell,DLL4_NOTCH1,1357,endothelial cell_endothelial cell_DLL4_NOTCH1
endothelial cell,endothelial cell,VEGFC_VEGFR3,1346,endothelial cell_endothelial cell_VEGFC_VEGFR3
endothelial cell,endothelial cell,VEGFC_VEGFR2R3,1346,endothelial cell_endothelial cell_VEGFC_VEGFR2R3
endothelial cell,endothelial cell,EFNB2_EPHB4,1297,endothelial cell_endothelial cell_EFNB2_EPHB4
endothelial cell,pericyte,JAG1_NOTCH3,1283,endothelial cell_pericyte_JAG1_NOTCH3
endothelial cell,pericyte,PDGFB_PDGFRB,1276,endothelial cell_pericyte_PDGFB_PDGFRB
endothelial cell,endothelial cell,F11R_F11R,1270,endothelial cell_endothelial cell_F11R_F11R
endothelial cell,pericyte,PECAM1_PECAM1,1194,endothelial cell_pericyte_PECAM1_PECAM1
endothelial cell,pericyte,JAG1_NOTCH1,1194,endothelial cell_pericyte_JAG1_NOTCH1
endothelial cell,endothelial cell,GJA1_GJA1,1189,endothelial cell_endothelial cell_GJA1_GJA1
endothelial cell,pericyte,CD46_JAG1,1174,endothelial cell_pericyte_CD46_JAG1
endothelial cell,pericyte,COL4A2_CD44,1170,endothelial cell_pericyte_COL4A2_CD44
endothelial cell,pericyte,COL4A1_CD44,1170,endothelial cell_pericyte_COL4A1_CD44
endothelial cell,endothelial cell,PDGFB_PDGFRB,1160,endothelial cell_endothelial cell_PDGFB_PDGFRB
endothelial cell,pericyte,JAG1_NOTCH2,1160,endothelial cell_pericyte_JAG1_NOTCH2
endothelial cell,endothelial cell,JAM3_F11R,1142,endothelial cell_endothelial cell_JAM3_F11R
endothelial cell,Tumor,HSPG2_DAG1,1139,endothelial cell_Tumor_HSPG2_DAG1
endothelial cell,macrophage,COL4A2_CD44,1137,endothelial cell_macrophage_COL4A2_CD44
endothelial cell,macrophage,COL4A1_CD44,1137,endothelial cell_macrophage_COL4A1_CD44
endothelial cell,pericyte,SEMA4C_PLXNB2,1120,endothelial cell_pericyte_SEMA4C_PLXNB2
endothelial cell,endothelial cell,JAM3_JAM3,1115,endothelial cell_endothelial cell_JAM3_JAM3
endothelial cell,endothelial cell,JAM2_JAM2,1110,endothelial cell_endothelial cell_JAM2_JAM2
endothelial cell,pericyte,DLL4_NOTCH3,1102,endothelial cell_pericyte_DLL4_NOTCH3
endothelial cell,endothelial cell,CXCL12_ACKR3,1100,endothelial cell_endothelial cell_CXCL12_ACKR3
endothelial cell,macrophage,PECAM1_PECAM1,1082,endothelial cell_macrophage_PECAM1_PECAM1
endothelial cell,endothelial cell,CD99_CD99,1081,endothelial cell_endothelial cell_CD99_CD99
endothelial cell,endothelial cell,SEMA4C_PLXNB2,1074,endothelial cell_endothelial cell_SEMA4C_PLXNB2
endothelial cell,endothelial cell,JAM2_F11R,1060,endothelial cell_endothelial cell_JAM2_F11R
endothelial cell,pericyte,DLL4_NOTCH2,1045,endothelial cell_pericyte_DLL4_NOTCH2
endothelial cell,pericyte,DLL4_NOTCH1,1044,endothelial cell_pericyte_DLL4_NOTCH1
endothelial cell,Tumor,JAG1_NOTCH2,1041,endothelial cell_Tumor_JAG1_NOTCH2
Tumor,Tumor,LAMC1_DAG1,1034,Tumor_Tumor_LAMC1_DAG1
endothelial cell,macrophage,LAMC1_CD44,1030,endothelial cell_macrophage_LAMC1_CD44
endothelial cell,Tumor,SEMA4C_PLXNB2,1017,endothelial cell_Tumor_SEMA4C_PLXNB2
pericyte,pericyte,JAG1_NOTCH3,1015,pericyte_pericyte_JAG1_NOTCH3
pericyte,pericyte,SDC2_ADGRA2,998,pericyte_pericyte_SDC2_ADGRA2
Tumor,Tumor,HSPG2_DAG1,991,Tumor_Tumor_HSPG2_DAG1
endothelial cell,macrophage,JAG1_NOTCH2,964,endothelial cell_macrophage_JAG1_NOTCH2
pericyte,pericyte,JAG1_NOTCH1,943,pericyte_pericyte_JAG1_NOTCH1
Tumor,Tumor,MPZL1_MPZL1,942,Tumor_Tumor_MPZL1_MPZL1
endothelial cell,macrophage,CXCL12_CXCR4,940,endothelial cell_macrophage_CXCL12_CXCR4
pericyte,endothelial cell,JAG1_NOTCH4,940,pericyte_endothelial cell_JAG1_NOTCH4
pericyte,endothelial cell,JAG1_NOTCH1,940,pericyte_endothelial cell_JAG1_NOTCH1
endothelial cell,macrophage,SEMA4C_PLXNB2,934,endothelial cell_macrophage_SEMA4C_PLXNB2
endothelial cell,Tumor,LAMC1_DAG1,932,endothelial cell_Tumor_LAMC1_DAG1
pericyte,pericyte,COL4A1_CD44,924,pericyte_pericyte_COL4A1_CD44
pericyte,pericyte,JAG1_NOTCH2,924,pericyte_pericyte_JAG1_NOTCH2
endothelial cell,macrophage,PROS1_MERTK,924,endothelial cell_macrophage_PROS1_MERTK
endothelial cell,macrophage,GAS6_MERTK,922,endothelial cell_macrophage_GAS6_MERTK
endothelial cell,muscle cell,JAG1_NOTCH3,914,endothelial cell_muscle cell_JAG1_NOTCH3
