"ligand","receptor","pathway","signaling_type","version"
"Tgfb1","Tgfbr1_Tgfbr2","TGFb","Secreted Signaling","CellChatDB v1"
"Tgfb2","Tgfbr1_Tgfbr2","TGFb","Secreted Signaling","CellChatDB v1"
"Tgfb3","Tgfbr1_Tgfbr2","TGFb","Secreted Signaling","CellChatDB v1"
"Tgfb1","Acvr1b_Tgfbr2","TGFb","Secreted Signaling","CellChatDB v1"
"Tgfb1","Acvr1c_Tgfbr2","TGFb","Secreted Signaling","CellChatDB v1"
"Tgfb2","Acvr1b_Tgfbr2","TGFb","Secreted Signaling","CellChatDB v1"
"Tgfb2","Acvr1c_Tgfbr2","TGFb","Secreted Signaling","CellChatDB v1"
"Tgfb3","Acvr1b_Tgfbr2","TGFb","Secreted Signaling","CellChatDB v1"
"Tgfb3","Acvr1c_Tgfbr2","TGFb","Secreted Signaling","CellChatDB v1"
"Tgfb1","Acvr1_Tgfbr1_Tgfbr2","TGFb","Secreted Signaling","CellChatDB v1"
"Tgfb2","Acvr1_Tgfbr1_Tgfbr2","TGFb","Secreted Signaling","CellChatDB v1"
"Tgfb3","Acvr1_Tgfbr1_Tgfbr2","TGFb","Secreted Signaling","CellChatDB v1"
"Bmp2","Bmpr1a_Acvr2a","BMP","Secreted Signaling","CellChatDB v1"
"Bmp2","Bmpr1a_Acvr2b","BMP","Secreted Signaling","CellChatDB v1"
"Bmp2","Bmpr1a_Bmpr2","BMP","Secreted Signaling","CellChatDB v1"
"Bmp2","Bmpr1b_Acvr2a","BMP","Secreted Signaling","CellChatDB v1"
"Bmp2","Bmpr1b_Acvr2b","BMP","Secreted Signaling","CellChatDB v1"
"Bmp2","Bmpr1b_Bmpr2","BMP","Secreted Signaling","CellChatDB v1"
"Bmp4","Bmpr1a_Acvr2a","BMP","Secreted Signaling","CellChatDB v1"
"Bmp4","Bmpr1a_Acvr2b","BMP","Secreted Signaling","CellChatDB v1"
"Bmp4","Bmpr1a_Bmpr2","BMP","Secreted Signaling","CellChatDB v1"
"Bmp4","Bmpr1b_Acvr2a","BMP","Secreted Signaling","CellChatDB v1"
"Bmp4","Bmpr1b_Acvr2b","BMP","Secreted Signaling","CellChatDB v1"
"Bmp4","Bmpr1b_Bmpr2","BMP","Secreted Signaling","CellChatDB v1"
"Gdf5","Bmpr1a_Acvr2a","BMP","Secreted Signaling","CellChatDB v1"
"Gdf5","Bmpr1a_Acvr2b","BMP","Secreted Signaling","CellChatDB v1"
"Gdf5","Bmpr1a_Bmpr2","BMP","Secreted Signaling","CellChatDB v1"
"Gdf5","Bmpr1b_Acvr2a","BMP","Secreted Signaling","CellChatDB v1"
"Gdf5","Bmpr1b_Acvr2b","BMP","Secreted Signaling","CellChatDB v1"
"Gdf5","Bmpr1b_Bmpr2","BMP","Secreted Signaling","CellChatDB v1"
"Gdf6","Bmpr1a_Acvr2a","BMP","Secreted Signaling","CellChatDB v1"
"Gdf6","Bmpr1a_Acvr2b","BMP","Secreted Signaling","CellChatDB v1"
"Gdf6","Bmpr1a_Bmpr2","BMP","Secreted Signaling","CellChatDB v1"
"Gdf6","Bmpr1b_Acvr2a","BMP","Secreted Signaling","CellChatDB v1"
"Gdf6","Bmpr1b_Acvr2b","BMP","Secreted Signaling","CellChatDB v1"
"Gdf6","Bmpr1b_Bmpr2","BMP","Secreted Signaling","CellChatDB v1"
"Gdf7","Bmpr1a_Acvr2a","BMP","Secreted Signaling","CellChatDB v1"
"Gdf7","Bmpr1a_Acvr2b","BMP","Secreted Signaling","CellChatDB v1"
"Gdf7","Bmpr1a_Bmpr2","BMP","Secreted Signaling","CellChatDB v1"
"Gdf7","Bmpr1b_Acvr2a","BMP","Secreted Signaling","CellChatDB v1"
"Gdf7","Bmpr1b_Acvr2b","BMP","Secreted Signaling","CellChatDB v1"
"Gdf7","Bmpr1b_Bmpr2","BMP","Secreted Signaling","CellChatDB v1"
"Bmp15","Bmpr1b_Bmpr2","BMP","Secreted Signaling","CellChatDB v1"
"Bmp5","Acvr1_Acvr2a","BMP","Secreted Signaling","CellChatDB v1"
"Bmp5","Acvr1_Acvr2b","BMP","Secreted Signaling","CellChatDB v1"
"Bmp5","Acvr1_Bmpr2","BMP","Secreted Signaling","CellChatDB v1"
"Bmp5","Bmpr1a_Acvr2a","BMP","Secreted Signaling","CellChatDB v1"
"Bmp5","Bmpr1a_Acvr2b","BMP","Secreted Signaling","CellChatDB v1"
"Bmp5","Bmpr1a_Bmpr2","BMP","Secreted Signaling","CellChatDB v1"
"Bmp5","Bmpr1b_Acvr2a","BMP","Secreted Signaling","CellChatDB v1"
"Bmp5","Bmpr1b_Acvr2b","BMP","Secreted Signaling","CellChatDB v1"
"Bmp5","Bmpr1b_Bmpr2","BMP","Secreted Signaling","CellChatDB v1"
"Bmp6","Acvr1_Acvr2a","BMP","Secreted Signaling","CellChatDB v1"
"Bmp6","Acvr1_Acvr2b","BMP","Secreted Signaling","CellChatDB v1"
"Bmp6","Acvr1_Bmpr2","BMP","Secreted Signaling","CellChatDB v1"
"Bmp6","Bmpr1a_Acvr2a","BMP","Secreted Signaling","CellChatDB v1"
"Bmp6","Bmpr1a_Acvr2b","BMP","Secreted Signaling","CellChatDB v1"
"Bmp6","Bmpr1a_Bmpr2","BMP","Secreted Signaling","CellChatDB v1"
